,State,personal_health_spend_Y2005,personal_health_spend_Y2006,personal_health_spend_Y2007,personal_health_spend_Y2008,personal_health_spend_Y2009,state_abrv
0,Alabama,5635.737,6648.616,7030.018,7538.214,7972.104,AL
1,Alaska,342.136,384.365,401.586,443.913,504.044,AK
2,Arizona,5773.851,6811.382,7417.659,8057.845,8641.816,AZ
3,Arkansas,3176.964,3752.93,4067.266,4302.598,4545.438,AR
4,California,34486.349,39998.952,42147.076,47210.423,50688.904,CA
5,Colorado,3679.335,4287.357,4562.18,4913.168,5312.038,CO
6,Connecticut,4460.572,5203.213,5478.748,5852.508,6149.347,CT
7,Delaware,943.646,1099.528,1209.189,1362.279,1439.996,DE
8,Florida,27377.17,31942.678,33870.369,36954.25,39457.081,FL
9,Georgia,7700.386,9441.601,10136.239,10906.846,11803.691,GA
10,Hawaii,1050.221,1212.482,1280.182,1420.028,1524.97,HI
11,Idaho,1077.066,1314.919,1410.503,1543.648,1686.961,ID
12,Illinois,12919.818,15177.149,16096.053,17286.28,18450.224,IL
13,Indiana,6711.576,7859.885,8321.395,9071.066,9794.621,IN
14,Iowa,2925.963,3498.197,3691.892,3930.614,4160.884,IA
15,Kansas,2796.361,3226.405,3441.386,3674.031,3951.629,KS
16,Kentucky,4915.62,5787.124,6221.47,6738.549,7084.84,KY
17,Louisiana,5779.466,6448.429,6889.245,7391.91,7930.704,LA
18,Maine,1472.384,1759.715,1918.796,2055.707,2216.957,ME
19,Maryland,6311.528,7292.877,7684.081,8344.87,8751.749,MD
20,Massachusetts,8548.436,9860.861,10570.986,11260.606,12035.831,MA
21,Michigan,12152.984,14099.144,15090.346,16327.075,17338.074,MI
22,Minnesota,5000.063,5855.853,6198.412,6655.807,7044.567,MN
23,Mississippi,3442.336,4036.553,4308.177,4645.356,4990.082,MS
24,Missouri,6937.644,8174.936,8768.471,9304.569,9919.637,MO
25,Montana,871.365,1008.743,1089.849,1166.251,1228.17,MT
26,Nebraska,1859.031,2180.9,2289.277,2422.11,2592.348,NE
27,Nevada,2274.246,2590.857,2779.291,3076.026,3354.806,NV
28,New Hampshire,1213.065,1447.255,1574.545,1716.341,1807.693,NH
29,New Jersey,10225.485,12104.23,13155.534,14051.989,14938.375,NJ
30,New Mexico,1501.647,1812.536,1975.689,2161.124,2312.84,NM
31,New York,24509.506,27889.448,29885.231,32075.644,34061.245,NY
32,North Carolina,9510.352,11400.786,12289.424,13143.131,14240.976,NC
33,North Dakota,739.457,831.274,856.031,935.614,953.521,ND
34,Ohio,13665.868,15754.979,16719.96,18052.101,19325.633,OH
35,Oklahoma,4003.701,4799.19,5081.959,5368.649,5660.367,OK
36,Oregon,3330.39,3922.893,4248.875,4625.717,4960.69,OR
37,Pennsylvania,17205.867,20004.516,21372.624,22854.974,24173.293,PA
38,Rhode Island,1289.1,1511.53,1599.423,1718.991,1829.291,RI
39,South Carolina,4558.341,5472.523,5907.739,6457.4,6944.65,SC
40,South Dakota,808.66,943.596,1006.135,1065.004,1145.431,SD
41,Tennessee,7393.238,8986.788,9485.144,10155.737,10924.724,TN
42,Texas,22964.664,27064.007,29059.591,31327.072,33862.254,TX
43,Utah,1591.527,1885.171,2039.88,2178.906,2375.486,UT
44,Vermont,549.738,678.231,734.016,783.978,843.392,VT
45,Virginia,6409.362,7535.644,8149.591,8811.351,9501.238,VA
46,Washington,5358.504,6294.097,6725.247,7309.244,7956.559,WA
47,West Virginia,2256.975,2678.074,2922.252,3186.401,3319.319,WV
48,Wisconsin,5333.633,6281.371,6775.946,7338.458,7852.879,WI
49,Wyoming,362.882,433.397,451.403,479.438,526.813,WY
