,State,Percent_smokers_2018
0,Alabama,19.2
1,Alaska,19.1
2,Arizona,14.0
3,Arkansas,22.7
4,California,11.2
5,Colorado,14.5
6,Connecticut,12.2
7,Delaware,16.5
8,Florida,14.5
9,Georgia,16.1
11,Hawaii,13.4
12,Idaho,14.7
13,Illinois,15.5
14,Indiana,21.1
15,Iowa,16.6
16,Kansas,17.2
17,Kentucky,23.4
18,Louisiana,20.5
19,Maine,17.8
20,Maryland,12.5
21,Massachusetts,13.4
22,Michigan,18.9
23,Minnesota,15.1
24,Mississippi,20.5
25,Missouri,19.4
26,Montana,18.0
27,Nebraska,16.0
28,Nevada,15.7
29,New Hampshire,15.6
30,New Jersey,13.1
31,New Mexico,15.2
32,New York,12.8
33,North Carolina,17.4
34,North Dakota,19.1
35,Ohio,20.5
36,Oklahoma,19.7
37,Oregon,15.6
38,Pennsylvania,17.0
40,Rhode Island,14.6
41,South Carolina,18.0
42,South Dakota,19.0
43,Tennessee,20.7
44,Texas,14.4
45,Utah,9.0
46,Vermont,13.7
47,Virginia,14.9
48,Washington,12.0
49,West Virginia,25.2
50,Wisconsin,16.4
51,Wyoming,18.8
